central_bank,country,currency,currency_code,advanced,cb_location,cb_latitude,cb_longitude
european central bank,EA,Euro,EUR,1,Frankfurt,50.1109,8.6821
board of governors of the federal reserve system,USA,US Dollar,USD,1,Washington,38.9072,-77.0369
bank of england,GBR,Pound Sterling,GBP,1,London,51.5074,-0.1278
reserve bank of india,IND,Indian Rupee,INR,0,Mumbai,19.076,72.8777
deutsche bundesbank,DEU,Euro,EUR,1,Frankfurt,50.1109,8.6821
bank of japan,JPN,Yen,JPY,1,Tokyo,35.6895,139.6917
sveriges riksbank,SWE,Swedish Krona,SEK,1,Stockholm,59.3293,18.0686
reserve bank of australia,AUS,Australian Dollar,AUD,1,Sydney,-33.8688,151.2093
bank of canada,CAN,Canadian Dollar,CAD,1,Ottawa,45.4215,-75.6972
central bank of norway,NOR,Norwegian Krone,NOK,1,Oslo,59.9139,10.7522
federal reserve bank of new york,USA,US Dollar,USD,1,New York City,40.7128,-74.006
south african reserve bank,ZAF,Rand,ZAR,0,Pretoria,-25.7479,28.2293
bank of italy,ITA,Euro,EUR,1,Rome,41.9028,12.4964
central bank of malaysia,MYS,Malaysian Ringgit,MYR,0,Kuala Lumpur,3.139,101.6869
bank of spain,ESP,Euro,EUR,1,Madrid,40.4168,-3.7038
central bank of the philippines,PHL,Philippine Peso,PHP,0,Manila,14.5995,120.9842
swiss national bank,CHE,Swiss Franc,CHF,1,Bern,47.3769,8.5417
central bank of ireland,IRL,Euro,EUR,1,Dublin,53.3498,-6.2603
monetary authority of singapore,SGP,Singapore Dollar,SGD,1,Singapore,1.3521,103.8198
bank of france,FRA,Euro,EUR,1,Paris,48.8566,2.3522
reserve bank of new zealand,NZL,New Zealand Dollar,NZD,1,Wellington,-41.2865,174.7762
netherlands bank,NLD,Euro,EUR,1,Amsterdam,52.3676,4.9041
hong kong monetary authority,HKG,Hong Kong Dollar,HKD,1,Hong Kong,22.3193,114.1694
central bank of chile,CHL,Chilean Peso,CLP,0,Santiago,-33.4489,-70.6693
bank of thailand,THA,Baht,THB,0,Bangkok,13.7563,100.5018
bank of albania,ALB,Lek,ALL,0,Tirana,41.3275,19.8189
bank of finland,FIN,Euro,EUR,1,Helsinki,60.1699,24.9384
bank of greece,GRC,Euro,EUR,1,Athens,37.9838,23.7275
bank of mauritius,MUS,Mauritius Rupee,MUR,0,Port Louis,-20.1609,57.4977
state bank of pakistan,PAK,Pakistan Rupee,PKR,0,Islamabad,33.6844,73.0479
people's bank of china,CHN,Yuan Renminbi,CNY,0,Beijing,39.9042,116.4074
national bank of denmark,DNK,Danish Krone,DKK,1,Copenhagen,55.6761,12.5683
