country,year,pegged,member_of_currency_union
ABW,1997,TRUE,FALSE
ABW,1998,TRUE,FALSE
ABW,1999,TRUE,FALSE
ABW,2000,TRUE,FALSE
ABW,2001,TRUE,FALSE
ABW,2002,TRUE,FALSE
ABW,2003,TRUE,FALSE
ABW,2004,TRUE,FALSE
ABW,2005,TRUE,FALSE
ABW,2006,TRUE,FALSE
ABW,2007,TRUE,FALSE
ABW,2008,TRUE,FALSE
ABW,2009,TRUE,FALSE
ABW,2010,TRUE,FALSE
ABW,2011,TRUE,FALSE
ABW,2012,TRUE,FALSE
ABW,2013,TRUE,FALSE
ABW,2014,TRUE,FALSE
ABW,2015,TRUE,FALSE
ABW,2016,TRUE,FALSE
ABW,2017,TRUE,FALSE
ABW,2018,TRUE,FALSE
ABW,2019,TRUE,FALSE
ABW,2020,TRUE,FALSE
ABW,2021,TRUE,FALSE
ABW,2022,TRUE,FALSE
ABW,2023,TRUE,FALSE
AFG,1997,FALSE,FALSE
AFG,1998,FALSE,FALSE
AFG,1999,FALSE,FALSE
AFG,2000,FALSE,FALSE
AFG,2001,FALSE,FALSE
AFG,2002,FALSE,FALSE
AFG,2003,FALSE,FALSE
AFG,2004,FALSE,FALSE
AFG,2005,FALSE,FALSE
AFG,2006,FALSE,FALSE
AFG,2007,FALSE,FALSE
AFG,2008,FALSE,FALSE
AFG,2009,FALSE,FALSE
AFG,2010,FALSE,FALSE
AFG,2011,FALSE,FALSE
AFG,2012,FALSE,FALSE
AFG,2013,FALSE,FALSE
AFG,2014,FALSE,FALSE
AFG,2015,FALSE,FALSE
AFG,2016,FALSE,FALSE
AFG,2017,FALSE,FALSE
AFG,2018,FALSE,FALSE
AFG,2019,FALSE,FALSE
AFG,2020,FALSE,FALSE
AFG,2021,FALSE,FALSE
AFG,2022,FALSE,FALSE
AFG,2023,FALSE,FALSE
AGO,1997,FALSE,FALSE
AGO,1998,FALSE,FALSE
AGO,1999,FALSE,FALSE
AGO,2000,FALSE,FALSE
AGO,2001,FALSE,FALSE
AGO,2002,FALSE,FALSE
AGO,2003,FALSE,FALSE
AGO,2004,FALSE,FALSE
AGO,2005,FALSE,FALSE
AGO,2006,FALSE,FALSE
AGO,2007,FALSE,FALSE
AGO,2008,FALSE,FALSE
AGO,2009,FALSE,FALSE
AGO,2010,FALSE,FALSE
AGO,2011,FALSE,FALSE
AGO,2012,FALSE,FALSE
AGO,2013,FALSE,FALSE
AGO,2014,FALSE,FALSE
AGO,2015,FALSE,FALSE
AGO,2016,FALSE,FALSE
AGO,2017,FALSE,FALSE
AGO,2018,FALSE,FALSE
AGO,2019,FALSE,FALSE
AGO,2020,FALSE,FALSE
AGO,2021,FALSE,FALSE
AGO,2022,FALSE,FALSE
AGO,2023,FALSE,FALSE
AIA,1997,FALSE,FALSE
AIA,1998,FALSE,FALSE
AIA,1999,FALSE,FALSE
AIA,2000,FALSE,FALSE
AIA,2001,FALSE,FALSE
AIA,2002,FALSE,FALSE
AIA,2003,FALSE,FALSE
AIA,2004,FALSE,FALSE
AIA,2005,FALSE,FALSE
AIA,2006,FALSE,FALSE
AIA,2007,FALSE,FALSE
AIA,2008,FALSE,FALSE
AIA,2009,FALSE,FALSE
AIA,2010,FALSE,FALSE
AIA,2011,FALSE,FALSE
AIA,2012,FALSE,FALSE
AIA,2013,FALSE,FALSE
AIA,2014,FALSE,FALSE
AIA,2015,FALSE,FALSE
AIA,2016,FALSE,FALSE
AIA,2017,FALSE,FALSE
AIA,2018,FALSE,FALSE
AIA,2019,FALSE,FALSE
AIA,2020,FALSE,FALSE
AIA,2021,FALSE,FALSE
AIA,2022,FALSE,FALSE
AIA,2023,FALSE,FALSE
ALB,1997,FALSE,FALSE
ALB,1998,FALSE,FALSE
ALB,1999,FALSE,FALSE
ALB,2000,FALSE,FALSE
ALB,2001,FALSE,FALSE
ALB,2002,FALSE,FALSE
ALB,2003,FALSE,FALSE
ALB,2004,FALSE,FALSE
ALB,2005,FALSE,FALSE
ALB,2006,FALSE,FALSE
ALB,2007,FALSE,FALSE
ALB,2008,FALSE,FALSE
ALB,2009,FALSE,FALSE
ALB,2010,FALSE,FALSE
ALB,2011,FALSE,FALSE
ALB,2012,FALSE,FALSE
ALB,2013,FALSE,FALSE
ALB,2014,FALSE,FALSE
ALB,2015,FALSE,FALSE
ALB,2016,FALSE,FALSE
